a	あ	ア
wk	うぃん	ウィン
wd	うぇん	ウェン
wl	うぉん	ウォン

gz	がん	ガン
gn	がん	ガン
gk	ぎん	ギン
gj	ぐん	グン
gd	げん	ゲン
gl	ごん	ゴン

zz	ざん	ザン
zn	ざん	ザン
zk	じん	ジン
zj	ずん	ズン
zd	ぜん	ゼン
zl	ぞん	ゾン

dz	だん	ダン
dn	だん	ダン
dk	ぢん	ヂン
dj	づん	ヅン
dd	でん	デン
dl	どん	ドン

bz	ばん	バン
bn	ばん	バン
bk	びん	ビン
bj	ぶん	ブン
bd	べん	ベン
bl	ぼん	ボン

pz	ぱん	パン
pn	ぱん	パン
pk	ぴん	ピン
pj	ぷん	プン
pd	ぺん	ペン
pl	ぽん	ポン

kyz	きゃん	キャン
kyn	きゃん	キャン
kyj	きゅん	キュン
kyd	きぇん	キェン
kyl	きょん	キョン

kgz	きゃん	キャン
kgn	きゃん	キャン
kgj	きゅん	キュン
kgd	きぇん	キェン
kgl	きょん	キョン

syz	しゃん	シャン
syn	しゃん	シャン
syj	しゅん	シュン
syd	しぇん	シェン
syl	しょん	ション

xz	しゃん	シャン
xn	しゃん	シャン
xj	しゅん	シュン
xd	しぇん	シェン
xl	しょん	ション

tyz	ちゃん	チャン
tyn	ちゃん	チャン
tyj	ちゅん	チュン
tyd	ちぇん	チェン
tyl	ちょん	チョン

cz	ちゃん	チャン
cn	ちゃん	チャン
cj	ちゅん	チュン
cd	ちぇん	チェン
cl	ちょん	チョン

nyz	にゃん	ニャン
nyn	にゃん	ニャン
nyj	にゅん	ニュン
nyd	にぇん	ニェン
nyl	にょん	ニョン

ngz	にゃん	ニャン
ngn	にゃん	ニャン
ngj	にゅん	ニュン
ngd	にぇん	ニェン
ngl	にょん	ニョン

hyz	ひゃん	ヒャン
hyn	ひゃん	ヒャン
hyj	ひゅん	ヒュン
hyd	ひぇん	ヒェン
hyl	ひょん	ヒョン

hgz	ひゃん	ヒャン
hgn	ひゃん	ヒャン
hgj	ひゅん	ヒュン
hgd	ひぇん	ヒェン
hgl	ひょん	ヒョン

myz	みゃん	ミャン
myn	みゃん	ミャン
myj	みゅん	ミュン
myd	みぇん	ミェン
myl	みょん	ミョン

mgz	みゃん	ミャン
mgn	みゃん	ミャン
mgj	みゅん	ミュン
mgd	みぇん	ミェン
mgl	みょん	ミョン

ryz	りゃん	リャン
ryn	りゃん	リャン
ryj	りゅん	リュン
ryd	りぇん	リェン
ryl	りょん	リョン

gyz	ぎゃん	ギャン
gyn	ぎゃん	ギャン
gyj	ぎゅん	ギュン
gyd	ぎぇん	ギェン
gyl	ぎょん	ギョン

zyz	じゃん	ジャン
zyn	じゃん	ジャン
zyj	じゅん	ジュン
zyd	じぇん	ジェン
zyl	じょん	ジョン

jz	じゃん	ジャン
jn	じゃん	ジャン
jj	じゅん	ジュン
jd	じぇん	ジェン
jl	じょん	ジョン

byz	びゃん	ビャン
byn	びゃん	ビャン
byj	びゅん	ビュン
byd	びぇん	ビェン
byl	びょん	ビョン

pyz	ぴゃん	ピャン
pyn	ぴゃん	ピャン
pyj	ぴゅん	ピュン
pyd	ぴぇん	ピェン
pyl	ぴょん	ピョン

pgz	ぴゃん	ピャン
pgn	ぴゃん	ピャン
pgj	ぴゅん	ピュン
pgd	ぴぇん	ピェン
pgl	ぴょん	ピョン

fz	ふぁん	ファン
fn	ふぁん	ファン
fk	ふぃん	フィン
fj	ふん	フン
fd	ふぇん	フェン
fl	ふぉん	フォン

vz	ヴぁん	ヴァン
vn	ヴぁん	ヴァン
vk	ヴぃん	ヴィン
vj	ヴん	ヴン
vd	ヴぇん	ヴェン
vl	ヴぉん	ヴォン

tgk	てぃん	ティン

tgj	とぅん	トゥン

dck	でぃん	ディン

dcj	どぅん	ドゥン

lz	ぁん	ァン
ln	ぁん	ァン
lk	ぃん	ィン
ld	ぇん	ェン
ll	ぉん	ォン

lyz	ゃん	ャン
lyn	ゃん	ャン
lyj	ゅん	ュン
lyl	ょん	ョン

kq	かい	カイ
kh	くう	クウ
kw	けい	ケイ
kp	こう	コウ

sq	さい	サイ
sh	すう	スウ
sw	せい	セイ
sp	そう	ソウ

tq	たい	タイ
th	つう	ツウ
tw	てい	テイ
tp	とう	トウ

nq	ない	ナイ
nh	ぬう	ヌウ
nw	ねい	ネイ
np	のう	ノウ

hq	はい	ハイ
hh	ふう	フウ
hw	へい	ヘイ
hp	ほう	ホウ

mq	まい	マイ
mh	むう	ムウ
mw	めい	メイ
mp	もう	モウ

yq	やい	ヤイ
yh	ゆう	ユウ
yp	よう	ヨウ

rq	らい	ライ
rh	るう	ルウ
rw	れい	レイ
rp	ろう	ロウ

gq	がい	ガイ
gh	ぐう	グウ
gw	げい	ゲイ
gp	ごう	ゴウ

zq	ざい	ザイ
zh	ずう	ズウ
zw	ぜい	ゼイ
zp	ぞう	ゾウ

dq	だい	ダイ
dh	づう	ヅウ
dw	でい	デイ
dp	どう	ドウ

bq	ばい	バイ
bh	ぶう	ブウ
bw	べい	ベイ
bp	ぼう	ボウ

pq	ぱい	パイ
ph	ぷう	プウ
pw	ぺい	ペイ
pp	ぽう	ポウ

kyq	きゃい	キャイ
kyh	きゅう	キュウ
kyw	きぇい	キェイ
kyp	きょう	キョウ

kgq	きゃい	キャイ
kgh	きゅう	キュウ
kgw	きぇい	キェイ
kgp	きょう	キョウ

syq	しゃい	シャイ
syh	しゅう	シュウ
syw	しぇい	シェイ
syp	しょう	ショウ

xq	しゃい	シャイ
xh	しゅう	シュウ
xw	しぇい	シェイ
xp	しょう	ショウ

tyq	ちゃい	チャイ
tyh	ちゅう	チュウ
tyw	ちぇい	チェイ
typ	ちょう	チョウ

cq	ちゃい	チャイ
ch	ちゅう	チュウ
cw	ちぇい	チェイ
cp	ちょう	チョウ

nyq	にゃい	ニャイ
nyh	にゅう	ニュウ
nyw	にぇい	ニェイ
nyp	にょう	ニョウ

ngq	にゃい	ニャイ
ngh	にゅう	ニュウ
ngw	にぇい	ニェイ
ngp	にょう	ニョウ

hyq	ひゃい	ヒャイ
hyh	ひゅう	ヒュウ
hyw	ひぇい	ヒェイ
hyp	ひょう	ヒョウ

hgq	ひゃい	ヒャイ
hgh	ひゅう	ヒュウ
hgw	ひぇい	ヒェイ
hgp	ひょう	ヒョウ

myq	みゃい	ミャイ
myh	みゅう	ミュウ
myw	みぇい	ミェイ
myp	みょう	ミョウ

mgq	みゃい	ミャイ
mgh	みゅう	ミュウ
mgw	みぇい	ミェイ
mgp	みょう	ミョウ

ryq	りゃい	リャイ
ryh	りゅう	リュウ
ryw	りぇい	リェイ
ryp	りょう	リョウ

gyq	ぎゃい	ギャイ
gyh	ぎゅう	ギュウ
gyw	ぎぇい	ギェイ
gyp	ぎょう	ギョウ

zyq	じゃい	ジャイ
zyh	じゅう	ジュウ
zyw	じぇい	ジェイ
zyp	じょう	ジョウ

jq	じゃい	ジャイ
jh	じゅう	ジュウ
jw	じぇい	ジェイ
jp	じょう	ジョウ

byq	びゃい	ビャイ
byh	びゅう	ビュウ
byw	びぇい	ビェイ
byp	びょう	ビョウ

pyq	ぴゃい	ピャイ
pyh	ぴゅう	ピュウ
pyw	ぴぇい	ピェイ
pyp	ぴょう	ピョウ

pgq	ぴゃい	ピャイ
pgh	ぴゅう	ピュウ
pgw	ぴぇい	ピェイ
pgp	ぴょう	ピョウ

fq	ふぁい	ファイ
fh	ふう	フウ
fw	ふぇい	フェイ
fp	ふぉー	フォー

vq	ヴぁい	ヴァイ
vh	ヴー	ヴー
vw	ヴぇい	ヴェイ
vp	ヴぉー	ヴォー

tgh	とぅー	トゥー

dch	どぅー	ドゥー

wq	わい	ワイ
ww	うぇい	ウェイ
wp	うぉー	ウォー

lq	ぁい	ァイ
lh	ぅう	ゥウ
lw	ぇい	ェイ
lp	ぉう	ォウ

lyq	ゃい	ャイ
lyh	ゅう	ュウ
lyp	ょう	ョウ

kf	き	キ
jf	じゅ	ジュ
hf	ふ	フ
yf	ゆ	ユ
mf	む	ム
nf	ぬ	ヌ
df	で	デ
cf	ちぇ	チェ
pf	ぽん	ポン

wf	わい	ワイ
sf	さい	サイ
ss	せい	セイ
zc	ざ	ザ
zv	ざい	ザイ
zf	ぜ	ゼ
zx	ぜい	ゼイ

kt	こと	コト
wt	わた	ワタ
km	かも	カモ
sr	する	スル
rr	られ	ラレ
nb	ねば	ネバ
nt	にち	ニチ
st	した	シタ
mn	もの	モノ
tm	ため	タメ
tr	たら	タラ
zr	ざる	ザル
bt	びと	ビト
dt	だち	ダチ
tt	たち	タチ
ms	ます	マス
dm	でも	デモ
nr	なる	ナル
mt	また	マタ
gr	がら	ガラ
wr	われ	ワレ
ht	ひと	ヒト
ds	です	デス
kr	から	カラ
yr	よる	ヨル
tb	たび	タビ
gt	ごと	ゴト

